"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Carex littoralis sensu Petrie","ALA_Carex_littoralis_sensu_Petrie","Carex littoralis sensu Petrie",,,"Cyperaceae","Carex","Poales","species","Magnoliopsida"
"Mazus novaezeelandiae W.R.Barker subsp. novaezeelandiae","NZOR-4-25694","Mazus novaezeelandiae W.R.Barker subsp. novaezeelandiae","Phrymaceae",,"Phrymaceae","Mazus","Lamiales","subspecies","Magnoliopsida"
"Myosotis pygmaea Colenso","NZOR-4-58684","Myosotis pygmaea","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Gleichenia flabellata var. tenera (R.Br.) Hook.f.","http://id.biodiversity.org.au/node/apni/2896351","Sticherus tener","Gleicheniaceae",,"Gleicheniaceae","Sticherus","Gleicheniales","variety","Polypodiopsida"
"Pittosporum ellipticum subsp. serpentinum de Lange","NZOR-4-60853","Pittosporum serpentinum","Pittosporaceae",,"Pittosporaceae","Pittosporum","Apiales","subspecies","Magnoliopsida"
"Hypericum pauciflorum subsp. involutum (Labill.) C.Rodr.-Jim.","http://id.biodiversity.org.au/node/apni/2888539","Hypericum gramineum","Hypericaceae",,"Hypericaceae","Hypericum","Malpighiales","subspecies","Magnoliopsida"
"Myosotis cinerascens Petrie","NZOR-4-15773","Myosotis traversii var. cinerascens","Boraginaceae",,"Boraginaceae","Myosotis",,"species","Magnoliopsida"
"Cotula dispersa subsp. rupestris D.G.Lloyd","NZOR-4-75647","Leptinella dispersa subsp. rupestris","Asteraceae",,"Compositae","Leptinella","Asterales","subspecies","Magnoliopsida"
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall.","http://id.biodiversity.org.au/node/apni/2901796","Daucus glochidiatus","Apiaceae",,"Umbelliferae","Daucus","Apiales","species","Magnoliopsida"
"Carmichaelia juncea Hook.f.","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
