"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","taxonId","vernacular name"
"Lastreopsis grayi","http://id.biodiversity.org.au/node/apni/2899058","Lastreopsis grayi","Dryopteridaceae",,"D.L.Jones","13854",
"Glossodia","http://id.biodiversity.org.au/node/apni/2921168","Glossodia","Orchidaceae",,,"20775",
"Dipodium hamiltonianum","http://id.biodiversity.org.au/name/apni/79467","Dipodium hamiltonianum",,,"F.M.Bailey","14607","yellow hyacinth orchid"
"Chiloglottis reflexa","http://id.biodiversity.org.au/name/apni/64825","Chiloglottis reflexa",,,"(Labill.) Druce","17636","autumn bird orchid"
"Cestichis swenssonii","http://id.biodiversity.org.au/name/apni/196167","Cestichis swenssonii",,,"(F.M.Bailey) M.A.Clem. & D.L.Jones","36435",
"Hoplocephalus stephensii","urn:lsid:biodiversity.org.au:afd.taxon:525e24cf-8e45-4833-a41e-dc5ddb0103bd","Hoplocephalus stephensii","Elapidae",,"Krefft, 1869","481","Stephens' banded snake"
"Pterostylis depauperata","http://id.biodiversity.org.au/name/apni/74526","Pterostylis depauperata",,,"F.M.Bailey","12692",
"Corybas fimbriatus","http://id.biodiversity.org.au/name/apni/81704","Corybas fimbriatus",,,"(R.Br.) Rchb.f.","13326","fringed helmet orchid"
"Macrozamia serpentina","http://id.biodiversity.org.au/node/apni/2899345","Macrozamia serpentina","Zamiaceae",,"D.L.Jones & P.I.Forst.","27445",
"Eulophia pelorica","http://id.biodiversity.org.au/name/apni/189022","Eulophia pelorica",,,"D.L.Jones & M.A.Clem.","30810",
"Calochilus paludosus","NZOR-4-21531","Calochilus paludosus","Orchidaceae",,"R.Br.","13288","red beard orchid"
"Thelymitra longifolia","NZOR-4-70666","Thelymitra longifolia","Orchidaceae",,"J.R.Forst. & G.Forst.","28222",
"Microtis rara","NZOR-4-48628","Microtis rara","Orchidaceae",,"R.Br.","9455","scented onion orchid"
"Pachystoma pubescens","http://id.biodiversity.org.au/name/apni/109831","Pachystoma pubescens",,,"Blume","8553",
"Hymenophyllum gracilescens","http://id.biodiversity.org.au/node/apni/2902972","Hymenophyllum gracilescens","Hymenophyllaceae",,"Domin","12052",
"Dendrobium bigibbum","http://id.biodiversity.org.au/node/apni/2903549","Vappodes bigibba","Orchidaceae",,"Lindl.","13977",
"Cycas yorkiana","http://id.biodiversity.org.au/node/apni/2896971","Cycas yorkiana","Cycadaceae",,"K.D.Hill","5938",
"Thelymitra fragrans","http://id.biodiversity.org.au/name/apni/115286","Thelymitra fragrans",,,"D.L.Jones & M.A.Clem.","9199",
"Corybas abellianus","http://id.biodiversity.org.au/name/apni/81639","Corybas abellianus",,,"Dockrill","13328","nodding helmet orchid"
"Cycas silvestris","http://id.biodiversity.org.au/node/apni/2896080","Cycas silvestris","Cycadaceae",,"K.D.Hill","8384",
"Dendrobium speciosum subsp. curvicaule","http://id.biodiversity.org.au/name/apni/201439","Dendrobium speciosum subsp. curvicaule",,,"(F.M.Bailey) D.P.Banks & Clemesha","13975",
"Microtis","NZOR-4-10115","Microtis unifolia","Orchidaceae",,,"14404",
"Pterostylis setifera","http://id.biodiversity.org.au/name/apni/75779","Pterostylis setifera",,,"M.A.Clem., Matthias & D.L.Jones","8556",
"Atrichornis rufescens","urn:lsid:biodiversity.org.au:afd.taxon:ae88e2da-1244-4b9d-b0ad-f24807352598","Atrichornis (Atrichornis) rufescens","Atrichornithidae",,"(Ramsay, 1867)","1632","rufous scrub-bird"
"Bulbophyllum evasum","http://id.biodiversity.org.au/name/apni/69501","Bulbophyllum evasum",,,"T.E.Hunt & Rupp","13484",
"Bulbophyllum wadsworthii","http://id.biodiversity.org.au/name/apni/69776","Bulbophyllum wadsworthii",,,"Dockrill","13258",
"Schistotylus","http://id.biodiversity.org.au/node/apni/2920886","Schistotylus","Orchidaceae",,,"21465",
"Euastacus maidae","urn:lsid:biodiversity.org.au:afd.taxon:ba5202c6-91f0-428d-823e-642aa87e2bf3","Euastacus maidae","Parastacidae",,"(Riek, 1956)","33595",
"Phlegmariurus filiformis","http://id.biodiversity.org.au/node/apni/2896005","Phlegmariurus filiformis","Lycopodiaceae",,"(Sw.) W.H.Wagner","34749",
"Diuris alba x D.chrysantha","ALA_Diuris_alba_x_D_chrysantha","Diuris alba x D.chrysantha",,,"R.Br.","6215",
"Flickingeria","http://id.biodiversity.org.au/node/apni/2900434","Flickingeria","Orchidaceae",,,"20729",
"Octarrhena","http://id.biodiversity.org.au/node/apni/2899178","Octarrhena","Orchidaceae",,,"21161",
"Mixophyes iteratus","urn:lsid:biodiversity.org.au:afd.taxon:305173f5-4f94-45f1-be96-aa4105095d9f","Mixophyes iteratus","Myobatrachidae",,"Straughan, 1968","676","giant barred frog"
"Cycas platyphylla","http://id.biodiversity.org.au/node/apni/2889516","Cycas platyphylla","Cycadaceae",,"K.D.Hill","8897",
"Bulbophyllum longiflorum","http://id.biodiversity.org.au/node/apni/2895841","Bulbophyllum longiflorum","Orchidaceae",,"Thouars","12872",
"Habenaria rumphii","http://id.biodiversity.org.au/name/apni/116873","Habenaria rumphii",,,"(Brongn.) Lindl.","12813",
"Dockrillia linguiformis","http://id.biodiversity.org.au/name/apni/147392","Dockrillia linguiformis",,,"(Sw.) Brieger","5779","tongue orchid"
"Pterostylis torquata","http://id.biodiversity.org.au/name/apni/178872","Pterostylis torquata",,,"D.L.Jones","35660",
"Dendrobium agrostophyllum","http://id.biodiversity.org.au/name/apni/84860","Dendrobium agrostophyllum",,,"F.Muell.","13282","buttercup orchid"
"Cophixalus monticola","urn:lsid:biodiversity.org.au:afd.taxon:cfedc2d5-7752-4326-8c5c-ed9463576257","Cophixalus monticola","Microhylidae",,"Richards, Dennis, Trenerry & Werren, 1994","710","mountain nurseryfrog"
"Aponogeton cuneatus","http://id.biodiversity.org.au/node/apni/2911151","Aponogeton cuneatus","Aponogetonaceae",,"S.W.L.Jacobs","30917",
"Taeniophyllum confertum","http://id.biodiversity.org.au/name/apni/65973","Taeniophyllum confertum",,,"B.Gray & D.L.Jones","8558",
"Cycas media","http://id.biodiversity.org.au/node/apni/2889358","Cycas media","Cycadaceae",,"R.Br.","17503",
"Dipodium pictum","http://id.biodiversity.org.au/node/apni/2912903","Dipodium pictum","Orchidaceae",,"(Lindl.) Rchb.f.","8950","brittle climbing orchid"
"Nervilia","http://id.biodiversity.org.au/node/apni/2892138","Nervilia","Orchidaceae",,,"19406",
"Bulbophyllum windsorense","http://id.biodiversity.org.au/name/apni/117205","Bulbophyllum windsorense",,,"B.Gray & D.L.Jones","9004",
"Nervilia uniflora","http://id.biodiversity.org.au/name/apni/83227","Nervilia uniflora",,,"(F.Muell.) Schltr.","12785",
"Corunastylis sigmoidea","http://id.biodiversity.org.au/name/apni/178836","Corunastylis sigmoidea",,,"(D.L.Jones) D.L.Jones & M.A.Clem.","27545",
"Stiphodon pelewensis","ALA_Stiphodon_pelewensis","Stiphodon pelewensis",,,"Herre, 1936","32228",
"Habenaria",,,,,,"12817",
"Varanus semiremex","urn:lsid:biodiversity.org.au:afd.taxon:81244b7e-7145-42fe-b28c-3d672310e739","Varanus semiremex","Varanidae",,"Peters, 1869","70","rusty monitor"
"Pterostylis procera","http://id.biodiversity.org.au/name/apni/75327","Pterostylis procera",,,"D.L.Jones & M.A.Clem.","7913",
"Genoplesium","http://id.biodiversity.org.au/node/apni/2907172","Genoplesium","Orchidaceae",,,"8382",
"Grastidium luteocilium","http://id.biodiversity.org.au/name/apni/60241","Grastidium luteocilium",,,"(Rupp) Rauschert","19450",
"Saccolabiopsis rectifolia","http://id.biodiversity.org.au/name/apni/102546","Saccolabiopsis rectifolia",,,"(Dockrill) Garay","9835",
"Sticherus milnei","http://id.biodiversity.org.au/node/apni/2904586","Sticherus milnei","Gleicheniaceae",,"(Baker) Ching","12024",
"Tmesipteris lanceolata","http://id.biodiversity.org.au/node/apni/2907902","Tmesipteris lanceolata","Psilotaceae",,"P.A.Dang.","8486",
"Dendrobium kingianum subsp. kingianum","http://id.biodiversity.org.au/name/apni/6320284","Dendrobium kingianum subsp. kingianum",,,"Bidwill ex Lindl.","14633",
"Thelymitra aristata","NZOR-4-107356","Thelymitra aristata","Orchidaceae",,"Lindl.","16041","great sun orchid"
"Pterostylis","http://id.biodiversity.org.au/node/apni/2901128","Pterostylis","Orchidaceae",,,"12704",
"Sarcochilus fitzgeraldii","http://id.biodiversity.org.au/node/apni/2901615","Sarcochilus fitzgeraldii","Orchidaceae",,"F.Muell.","12658","ravine orchid"
